Season,Season_yr,Tbar,RR
3,2002,11.43,2.84
0,2003,5.52,2.33
1,2003,10.42,0.99
2,2003,18.42,1.11
3,2003,11.38,1.82
0,2004,5.76,1.77
1,2004,9.86,1.80
2,2004,17.32,2.16
3,2004,11.84,1.78
0,2005,5.50,0.84
1,2005,9.97,1.31
2,2005,17.10,1.53
3,2005,12.24,1.49
0,2006,4.46,1.34
1,2006,9.59,1.65
2,2006,18.56,0.69
3,2006,13.57,3.35
0,2007,7.04,2.50
1,2007,11.06,1.59
2,2007,16.24,2.78
3,2007,11.15,1.58
0,2008,6.18,1.73
1,2008,10.03,2.12
2,2008,16.37,2.12
3,2008,10.62,1.86
0,2009,3.93,1.61
1,2009,10.43,0.88
2,2009,16.93,1.34
3,2009,12.16,2.21
0,2010,2.97,2.57
1,2010,9.26,0.93
2,2010,17.19,1.76
3,2010,10.35,1.59
0,2011,3.93,1.70
1,2011,11.06,0.47
2,2011,15.83,2.68
3,2011,12.92,1.28
0,2012,5.64,1.39
1,2012,10.08,1.77
2,2012,16.02,2.58
3,2012,10.48,2.78
0,2013,4.32,2.28
1,2013,7.42,1.81
2,2013,17.30,0.83
3,2013,11.41,2.15
0,2014,6.46,4.16
1,2014,10.39,2.10
2,2014,16.85,1.89
3,2014,12.68,2.18
0,2015,5.01,1.70
1,2015,9.82,0.93
2,2015,16.45,1.77
3,2015,11.57,1.73
0,2016,7.41,2.15
1,2016,9.16,1.96
2,2016,17.26,1.11
3,2016,11.22,1.94
0,2017,5.40,1.25
1,2017,10.95,1.15
2,2017,17.22,2.38
3,2017,11.37,1.54
0,2018,4.94,1.80
1,2018,10.23,2.05
2,2018,18.63,0.67
3,2018,11.47,1.83
0,2019,6.12,1.53
1,2019,10.14,1.13
2,2019,17.42,1.66
3,2019,10.98,2.98
0,2020,6.79,2.81
1,2020,10.68,0.95
2,2020,17.47,2.14
3,2020,11.85,2.50
