date,nao,sst_index
19871112,0.6196,-0.1374
19871117,0.2501,-0.0407
19871122,-1.1794,-0.3999
19871127,-0.5114,-0.6080
19871202,-1.5383,-0.8522
19871207,-0.9421,-0.9826
19871212,-1.2395,-0.8602
19871217,-0.2623,-0.9654
19871222,-0.2758,-1.0469
19871227,0.2922,-1.0771
19880101,0.8966,-0.8622
19880106,0.2062,-0.5213
19880111,0.7715,-0.2325
19880116,0.5740,-0.3199
19880121,-0.4783,-0.1948
19880126,-0.7603,-0.2556
19880131,-0.4077,-0.1649
19880205,0.4149,-0.0621
19880210,0.9703,0.2293
19880215,-0.6685,0.2485
19880220,-0.8007,0.0609
19880225,-1.1816,-0.0850
19880301,-1.2820,-0.5013
19880306,0.4224,-0.5952
19880311,-0.8495,-0.4104
19880316,0.0463,-0.5429
19880321,0.3091,-0.5836
19880326,0.0779,-0.3986
19880331,-0.4542,-0.1974
19881002,0.3525,1.4123
19881007,1.3184,1.4409
19881012,0.6044,1.3410
19881017,-0.3063,1.1133
19881022,-1.3285,0.7991
19881027,-0.4621,0.6311
19881101,-0.2980,0.6325
19881106,-0.1000,0.7225
19881111,0.6652,0.8516
19881116,-0.6493,0.9161
19881121,-0.3381,0.7862
19881126,-0.1304,0.6486
19881201,1.2283,0.1709
19881206,1.0221,-0.1276
19881211,0.4520,-0.0867
19881216,0.1401,-0.1825
19881221,0.8414,0.0302
19881226,0.1505,0.3603
19881231,0.4435,0.5625
19890105,0.6464,0.6442
19890110,1.6154,0.4326
19890115,2.1387,0.6509
19890120,0.5179,0.7038
19890125,1.2218,0.8873
19890130,1.4766,1.0005
19890204,2.7444,0.9861
19890209,1.2394,1.0405
19890214,1.6250,0.8320
19890219,2.1372,1.3060
19890224,1.0220,1.5358
19890301,0.1646,1.5211
19890306,0.2084,1.7746
19890311,1.4262,1.7153
19890316,1.3074,1.6043
19890321,1.5284,1.4126
19890326,0.6070,1.6473
19890331,1.0955,1.5774
19891002,0.0846,0.9229
19891007,-0.3453,0.9746
19891012,0.5596,0.9143
19891017,0.4368,0.9447
19891022,1.3603,0.8937
19891027,0.5546,0.7157
19891101,0.5909,0.5715
19891106,-0.0427,0.8636
19891111,-0.2616,1.1618
19891116,-0.2245,1.2199
19891121,-1.0006,0.9702
19891126,-0.2201,0.8490
19891201,0.0971,0.4246
19891206,-0.6746,-0.1030
19891211,-1.5416,-0.1812
19891216,-0.8019,-0.3425
19891221,0.6922,-0.1782
19891226,1.1422,0.0335
19891231,0.0478,0.0198
19900105,0.9719,0.2844
19900110,0.5916,0.6434
19900115,0.7409,0.8377
19900120,1.0542,1.2456
19900125,1.1075,1.4567
19900130,0.8264,1.3765
19900204,1.3993,1.5000
19900209,2.1823,1.5814
19900214,0.4426,1.1096
19900219,1.6729,0.6233
19900224,2.6457,1.0132
19900301,2.0981,1.2945
19900306,1.8658,1.0580
19900311,1.5528,1.2855
19900316,1.3229,1.6864
19900321,2.6317,1.2867
19900326,1.7055,1.1718
19900331,0.5220,0.9744
19901002,0.4358,0.1484
19901007,1.0558,0.3389
19901012,0.1629,0.3095
19901017,-0.0543,0.5784
19901022,-0.2632,0.3840
19901027,0.0774,0.2387
19901101,-0.7276,0.4389
19901106,-0.7051,0.1650
19901111,-0.6457,-0.0673
19901116,1.1753,0.0316
19901121,-0.3598,0.4135
19901126,-0.4042,0.4723
19901201,0.1087,0.3283
19901206,-0.6281,-0.1192
19901211,0.0334,-0.4915
19901216,-0.3434,-0.4359
19901221,0.6648,-0.3777
19901226,2.3419,0.1466
19901231,1.4547,0.7413
19910105,1.0460,1.0023
19910110,0.6292,1.0323
19910115,0.1613,0.8273
19910120,0.6412,0.7449
19910125,0.2151,0.6142
19910130,-0.1440,0.9485
19910204,-0.3090,1.1283
19910209,-1.4045,0.6199
19910214,-0.5998,0.5954
19910219,0.7429,0.5849
19910224,1.0067,0.7658
19910301,-0.7751,1.0297
19910306,-1.7009,1.0756
19910311,-1.9161,0.9763
19910316,-0.5375,0.8900
19910321,0.7410,1.0420
19910326,-0.1867,1.1529
19910331,1.2840,0.8810
19911002,0.3996,1.1786
19911007,-0.1727,1.4932
19911012,-0.4193,1.4515
19911017,0.0732,1.0852
19911022,-0.3707,0.7294
19911027,-1.3518,0.8166
19911101,-0.3704,0.8944
19911106,0.8967,0.7796
19911111,0.9887,0.7585
19911116,-0.5457,0.9778
19911121,-0.0009,0.8943
19911126,0.6619,0.9067
19911201,-0.2958,1.0314
19911206,-0.4193,1.0566
19911211,0.5108,1.0866
19911216,1.6076,0.9652
19911221,1.4370,0.8945
19911226,0.3597,0.8180
19911231,1.4759,0.9664
19920105,0.9540,0.8087
19920110,0.1922,0.6730
19920115,-0.3786,0.3742
19920120,0.7466,0.1768
19920125,0.8307,0.1913
19920130,-0.2667,0.1212
19920204,-0.3331,-0.0752
19920209,0.8905,-0.1386
19920214,1.1680,-0.0361
19920219,0.4184,0.2967
19920224,1.5260,0.6422
19920229,1.3063,0.9039
19920305,1.2466,1.0677
19920310,1.1594,1.0805
19920315,1.3743,0.8701
19920320,0.7020,0.6343
19920325,-0.0394,0.3743
19920330,-0.8932,0.4858
19921001,-0.3843,1.4407
19921006,-0.4956,1.0594
19921011,-1.0339,0.8137
19921016,-0.9096,0.4588
19921021,0.7530,0.2124
19921026,-0.1910,0.5625
19921031,0.0742,0.6792
19921105,0.1980,0.8502
19921110,1.2883,0.8874
19921115,0.6108,0.8304
19921120,-0.2308,1.0311
19921125,0.7194,1.2766
19921130,1.4051,1.6124
19921205,0.7831,1.3130
19921210,0.1342,1.3993
19921215,-0.3268,1.2481
19921220,0.8459,1.1884
19921225,0.1982,1.0569
19921230,0.4175,1.0282
19930104,1.2135,1.2246
19930109,2.3329,1.5574
19930114,2.2388,1.8169
19930119,2.2543,1.7380
19930124,1.7683,1.5088
19930129,1.1966,1.4284
19930203,1.2236,1.2843
19930208,-0.1437,1.2871
19930213,0.4911,1.4322
19930218,-0.0148,0.7597
19930223,-0.2269,0.7014
19930228,-1.2061,0.5298
19930305,-1.2318,0.4689
19930310,0.0422,0.7783
19930315,2.1091,0.5113
19930320,1.9931,0.7907
19930325,0.9106,1.0397
19930330,-0.8124,0.9547
19931001,-0.1220,1.0877
19931006,-0.4241,1.1059
19931011,-0.7769,1.0226
19931016,0.0383,1.1900
19931021,-0.4160,1.1321
19931026,-0.3787,0.8401
19931031,-0.2695,0.6967
19931105,-0.0752,0.9357
19931110,0.7264,0.9233
19931115,0.0941,1.3854
19931120,-0.5805,1.5774
19931125,0.2788,1.5870
19931130,0.4465,1.5077
19931205,0.4462,1.5600
19931210,-0.1997,1.6605
19931215,-0.1799,1.3634
19931220,1.1305,1.3883
19931225,-0.2979,1.1895
19931230,0.2812,1.2767
19940104,-0.7426,1.6080
19940109,-1.1752,1.2877
19940114,-0.3973,1.3182
19940119,1.7020,1.0906
19940124,1.1709,1.3705
19940129,0.5672,1.7972
19940203,0.0284,1.8109
